; PERSON  C:\Users\anthony_raborn\OneDrive - National Association of Boards of Pharmacy\an  Dec  9 2023  0:20
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ IN.ZST OUT.MS OUT.ZS  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE NAME
   161 -2.4212  1   200.0     34.0  .2093    .91   -.96    .75   -.63  .0000    .47   1.00  85.0  83.2   .42   .32 -2.4127 0161
   162  -.0303  1   200.0    101.0  .1853    .96   -.36    .96   -.24  .0000    .66   1.00  82.5  81.5   .64   .37  -.0303 0162
   163  -.8171  1   200.0     78.0  .1845   1.15   1.46   1.27   1.59  .0000    .54   1.00  75.5  79.3   .61   .41  -.8172 0163
   164  -.0303  1   200.0    101.0  .1853   1.22   1.90   1.22   1.57  .0000    .55   1.00  75.5  81.5   .64   .42  -.0303 0164
   165  1.5132  1   200.0    146.0  .1886   1.03    .45    .91   -.29  .0000    .52   1.00  75.5  77.0   .53   .38  1.5106 0165
   166  -.5102  1   200.0     87.0  .1849    .94   -.58    .89   -.74  .0000    .67   1.00  81.0  80.7   .63   .37  -.5105 0166
   167   .2441  1   200.0    109.0  .1850    .83  -1.61    .75  -1.94  .0000    .72   1.00  85.0  81.1   .64   .35   .2443 0167
   168  -.7830  1   200.0     79.0  .1845    .88  -1.19    .87   -.84  .0000    .67   1.00  82.0  79.5   .62   .36  -.7832 0168
   169  -.7830  1   200.0     79.0  .1845    .95   -.50    .99   -.02  .0000    .64   1.00  81.0  79.5   .62   .37  -.7832 0169
   170   .1413  1   200.0    106.0  .1852    .92   -.68    .88   -.85  .0000    .68   1.00  83.0  81.3   .64   .37   .1415 0170
   171  -.8851  1   200.0     76.0  .1845   1.03    .38   1.15    .92  .0000    .59   1.00  77.0  79.0   .61   .39  -.8851 0171
   172  1.1991  1   200.0    137.0  .1855   1.19   2.27   1.39   1.77  .0000    .46   1.00  72.5  77.3   .56   .42  1.1979 0172
   173  1.6936  1   200.0    151.0  .1915   1.01    .17    .86   -.47  .0000    .50   1.00  75.5  77.6   .50   .37  1.6899 0173
   174   .2098  1   200.0    108.0  .1851   1.21   1.81   1.20   1.41  .0000    .55   1.00  76.5  81.2   .64   .42   .2100 0174
   175   .0040  1   200.0    102.0  .1853    .91   -.81    .93   -.46  .0000    .68   1.00  84.0  81.5   .64   .36   .0041 0175
   176   .2098  1   200.0    108.0  .1851    .83  -1.57    .85  -1.15  .0000    .71   1.00  85.5  81.2   .64   .35   .2100 0176
   177  1.2335  1   200.0    138.0  .1857   1.21   2.50   1.30   1.36  .0000    .45   1.00  69.0  77.2   .56   .42  1.2322 0177
   178  -.4760  1   200.0     88.0  .1849    .98   -.19   1.07    .54  .0000    .64   1.00  81.5  80.8   .63   .38  -.4763 0178
   179   .3809  1   200.0    113.0  .1848   1.08    .76   1.04    .34  .0000    .60   1.00  78.5  80.7   .63   .40   .3812 0179
   180   .5174  1   200.0    117.0  .1846   1.05    .50   1.07    .51  .0000    .60   1.00  79.0  80.2   .63   .39   .5176 0180
   181   .0383  1   200.0    103.0  .1853    .95   -.43    .94   -.42  .0000    .67   1.00  82.5  81.4   .64   .37   .0385 0181
   182  -.6808  1   200.0     82.0  .1846   1.12   1.14   1.36   2.19  .0000    .55   1.00  77.5  80.0   .62   .40  -.6811 0182
   183  -.3733  1   200.0     91.0  .1851    .92   -.72    .90   -.71  .0000    .67   1.00  83.0  81.1   .64   .37  -.3736 0183
   184  -.5444  1   200.0     86.0  .1848    .94   -.56    .95   -.34  .0000    .66   1.00  82.5  80.5   .63   .37  -.5446 0184
   185  -.1676  1   200.0     97.0  .1853   1.13   1.12   1.09    .67  .0000    .59   1.00  77.5  81.4   .64   .41  -.1677 0185
   186  1.0961  1   200.0    134.0  .1850    .91  -1.08    .84   -.82  .0000    .62   1.00  82.0  77.7   .58   .36  1.0954 0186
   187   .9937  1   200.0    131.0  .1846    .93   -.79    .97   -.09  .0000    .62   1.00  80.5  78.1   .59   .37   .9932 0187
   188   .9596  1   200.0    130.0  .1845    .88  -1.35    .69  -1.82  .0000    .66   1.00  82.0  78.3   .59   .36   .9593 0188
   189 -1.1920  1   200.0     67.0  .1850   1.17   1.90   1.25   1.29  .0000    .50   1.00  71.0  77.7   .58   .41 -1.1913 0189
   190 -1.3986  1   200.0     61.0  .1862   1.01    .15    .97   -.09  .0000    .55   1.00  77.5  77.3   .56   .38 -1.3971 0190
   191  -.0303  1   200.0    101.0  .1853   1.07    .61   1.06    .46  .0000    .62   1.00  79.5  81.5   .64   .39  -.0303 0191
   192   .0727  1   200.0    104.0  .1852    .99   -.01   1.00    .01  .0000    .64   1.00  82.0  81.4   .64   .38   .0728 0192
   193   .7556  1   200.0    124.0  .1844    .90  -1.06    .81  -1.16  .0000    .66   1.00  83.5  79.2   .61   .36   .7556 0193
